class,sentence
"audit","The event is logged (UC 5 S8) and the HCP is returned in the specific office visit record to verify his or her changes"
"audit","The event is logged (UC5)"
"audit","The event is logged"
"audit","The irregular activity reports are customizable"
"audit","The parameters logged includes user or system account ID date or time stamp event source IP address error or event code and type"
"audit","The patient chooses to view his or her access log or that for a person for whom they are a personal health representative"
"audit","The patient then chooses the beginning and end date for the period of time they would like to view their access log for"
"audit","The patients access of the instructions are logged (UC5)"
"audit","The product shall have audit capabilities"
"audit","The product shall store messages for a minimum of one year for audit and transaction tracking purposes"
"audit","The purpose of the criteria is to provide the ability to remove a users privileges but maintain a history of the user in the system"
"audit","The system has capability to manage track and report user access to a specific patients data"
"audit","The system has the capability to automatically capture the electronic signature and title of the person entering data and date or time stamp each transaction"
"audit","The System secures audit records in the following ways:"
"audit","The system shall allow an authorized administrator to set the inclusion or exclusion of auditable events in SC203 based on organizational policy & operating requirements or limits"
"audit","The system shall be able to detect security-relevant events that it mediates and generate audit records for them"
"audit","The system shall be able to display a printable summary of the system log"
"audit","The system shall have the ability to record and display the identity and credentials of all users who entered all or part of a note even if they did not finalize the note"
"audit","The system shall have the ability to record or capture information about each authorized possibly and possibly unauthorized access attempt such as: User ID workstation date time transaction (menu screen file object) and attempted type of access (read modify etc)"
"audit","The system shall prevent modifications to the audit records"
"audit","The system shall prohibit all users read access to the audit records except those users that have been granted explicit read-access"
"audit","The system shall protect the stored audit records from unauthorized deletion"
"audit","The system shall provide a history report of changes made to the Activity or Event data"
"audit","The system shall provide authorized administrators with the capability to read all audit information from the audit records in one of the following two ways:1) The system shall provide the audit records in a manner suitable for the user to interpret the information"
"audit","The system shall provide summarized and detailed reports on user access usage logs etc"
"audit","The system shall provide the ability for the administrator to track user behavior as well as database utilization"
"audit","The system shall provide the ability to capture and maintain as discrete data the identity of the user who added modified inactivated or removed items from the allergy and adverse reaction list including attributes of the changed items"
"audit","The system shall provide the ability to capture the identity of the ordering provider for all test orders"
"audit","The system shall provide the ability to capture the identity of the prescribing provider for all medication orders"
"audit","The system shall provide the ability to cosign a note and record the date and time of signature"
"audit","The system shall provide the ability to record and display the identity of the user who addended or corrected a note and the date and time of the change"
"audit","The system shall provide the ability to record that patient specific instructions or educational material were provided to the patient"
"audit","The system shall provide the ability to record the date of changes made to a patients medication list and the identity of the user who made the changes"
"audit","The system shall provide the ability to record the identity of the user finalizing each note and the date and time of finalization"
"audit","The system shall provide the ability to record the user ID and date of all updates to the problem or diagnosis list"
"audit","The system shall provide the ability to record user and date stamp for prescription related events such as initial creation renewal refills discontinuation and cancellation of a prescription"
"audit","The system shall provide the ability to record user ID and date or time stamp for all referral related events"
"audit","The system shall provide the capability to generate reports based on ranges of system date and time that audit records were collected"
"audit","The system shall record within each audit record the following information when it is available:date and time of the eventthe component of the system (eg software component hardware component) where the event occurredtype of event (including: data description and patient identifier when relevant)subject identity (eg user identity) and (5) the outcome (success or failure) of the event"
"audit","The system shall support logging to a common audit engine using the schema and transports specified in the Audit Log specification of IHE Audit Trails and Node Authentication (ATNA) Profile"
"audit","The System tracks the before and after record of modified data elements"
"audit","The user ID and date or time stamp shall be recorded when the allergies reviewed option is selected"
"audit","The user ID and date or time stamp shall be recorded"
"audit","This ensures a complete audit trail if questions arise later on with regard to a particular dispute case"
"availability",Ensure the confidentiality integrity and availability of all electronic protected health information the covered entity creates receives maintains or transmits"
"availability",Implement administrative physical and technical safeguards that reasonably and appropriately protect the confidentiality integrity and availability of the electronic protected health information that it creates receives maintains or transmits on behalf of the covered entity as required by this subpart"
"availability",Implement administrative physical and technical safeguards that reasonably and appropriately protect the confidentiality integrity and availability of the electronic protected healthinformation that it creates receives maintains or transmits on behalf of the group health plan"
"availability","Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season"
"availability","As long as the user has access to the client PCthe system will be available 99% of the time during the first six months of operation"
"availability","If the system claims to be available 24 by 7 then the system shall have ability to run a backup concurrently with the operation of the application"
"availability","Monday Ã¢â‚¬â€œ Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST"
"availability","Rationale: To avoid service interruption during busiest customer service response periods"
"availability","system shall be able to handle all of the user requests or usage during business hours"
"availability","The application is brought down only within 98% of the scheduled outages per the availability schedule"
"availability","The application shall have a downtime of at most 10 minutes per year"
"availability","The Disputes application shall be available 24 by 7x365with the exception of the following scheduled maintenance windows"
"availability","The EHR System shall be able to perform real-time data redundancy on independent storage devices"
"availability","The product shall achieve a 98% uptime"
"availability","The product shall adhere to the corporate online availability schedule"
"availability","The product shall be available 24 hours per dayseven days per week"
"availability","The product shall be available 99% of the time"
"availability","The product shall be available 9999% of the time for regular business days"
"availability","The product shall be available during normal business hours"
"availability","The product shall not fail more than 2% of the available online time"
"availability","The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day"
"availability","The RFS system shall be available 90% of the time all yearand 98% during the budgeting period"
"availability","The RFS system should be available 24by 7especially during the budgeting period"
"availability","The solution shall maintain 999% availability Ã¢â‚¬â€ including planned maintenance"
"availability","The system must be available for use between 12:00AM and 6:00PM all days of the year"
"availability","The system must be available for use between 7:00AM and 11:59PM all days of the year"
"availability","The system shall be available for use between the hours of 8am and 6pm"
"availability","The system shall have high availability every day of the year"
"availability","The system shall provide system failovers or database redundancies"
"availability","The system shall support online modifications to database structures with minimal user downtime"
"availability","The system shall take advantage of network HA and redundancies and switch over to mirror databases without impact on the user"
"availability","The system will provide a 24 hour 800 toll free number for support to its customers"
"availability","The WCS system shall be available at all times as long as IBMÃ¢â‚¬â„¢s internal intranet W3 is accessible"
"availability","The WCS system will be available 95% of the time IBMÃ¢â‚¬â„¢s internal intranet W3 is available"
"availability","The website shall achieve 995% up time"
"availability","The website shall be available for use 24 hours per day365 days per year"
"availability","Out of 1000 accesses to the systemthe system is available 999 times"
"availability","The product shall be available for use 24 hours per day365 daysper year"
"capacity and performance","90% of tasks shall complete within 5 seconds"
"capacity and performance","98% of tasks shall complete within 8 seconds"
"capacity and performance","Any interface between a user and the automated system shall have a maximum response time of 5 secondsunless noted by an exception below"
"capacity and performance","Aside from server failurethe software product shall achieve 9999% up time"
"capacity and performance","For 10% of the timethe response time should not be more than 10 seconds"
"capacity and performance","No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed"
"capacity and performance","On a 112k connection or fasterthe system response time for all operations must be no more than 3 seconds 90% of the time"
"capacity and performance","On a 56k connectionthe system response time for all operations must be no more than 6 seconds 90% of the time"
"capacity and performance","Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min"
"capacity and performance","system shall be able to handle all of the user requests or usage during business hours"
"capacity and performance","The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network"
"capacity and performance","The audit report shall be returned within 10 seconds"
"capacity and performance","The average number of recycled parts records per day shall be 5000"
"capacity and performance","The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria"
"capacity and performance","The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours"
"capacity and performance","The Disputes application shall support 350 concurrent users without any degradation of performance in the application"
"capacity and performance","The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds"
"capacity and performance","The peak CPU utilization shall never exceed 70% of CPU capacity at any given time"
"capacity and performance","The preferred repair facility is returned within 8 seconds"
"capacity and performance","The preferred repair facility ratings shall be saved within 5 seconds"
"capacity and performance","The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle"
"capacity and performance","The product interface should be fast"
"capacity and performance","The product shall able to handle a large number of games simultaneously"
"capacity and performance","The product shall be able support 1000 simultaneous users"
"capacity and performance","The product shall be able to handle 1000 concurrent users within 2 years of the initial launch"
"capacity and performance","The product shall be able to handle up to 1500 simultaneous users"
"capacity and performance","The product shall be able to process 1000 transactions per hour within two years of its launch"
"capacity and performance","The product shall be able to support multiple remote users"
"capacity and performance","The product shall be capable of handling the existing 1000 users"
"capacity and performance","The product shall be capable of handling up to 100 concurrent requests"
"capacity and performance","The product shall be expected to operate for at least 5 years for each customer installation"
"capacity and performance","The product shall generate a CMA report in an acceptable time"
"capacity and performance","The product shall have a maximum message processing time of 2 seconds"
"capacity and performance","The product shall process messages within 2 seconds"
"capacity and performance","The product shall process minimum of 1 million transactions per year"
"capacity and performance","The product shall provide Multi-threading and Load Balancing"
"capacity and performance","The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic"
"capacity and performance","The product shall respond fast to keep up-to-date data in the display"
"capacity and performance","The product shall synchronize contacts and appointments in an acceptable time"
"capacity and performance","The product shall use symbols and words that are naturally understandable by the realtor community"
"capacity and performance","The product shall produce search results in an acceptable time"
"capacity and performance","The recycled parts audit report shall be returned to the user within 10 seconds"
"capacity and performance","The response time for the most common requests to reach a user shall not exceed 3 seconds"
"capacity and performance","The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds"
"capacity and performance","The response time of the product interface should not exceed 2 seconds 90% of the time"
"capacity and performance","The response time shall be fast enough to maintain the flow of the game"
"capacity and performance","The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses"
"capacity and performance","The save shall occur within 5 seconds"
"capacity and performance","The search for recycled parts shall take no longer than 15 seconds"
"capacity and performance","The search for the preferred repair facility shall take no longer than 8 seconds"
"capacity and performance","The search results shall be returned in under 15 seconds"
"capacity and performance","The search results shall be returned no later 30secondsafter the user has entered the search criteria"
"capacity and performance","The server will support a maximum of 100 simultaneous users"
"capacity and performance","The solution shall complete an average of 99% of all online update transactions in under 5 seconds over any 60-minute period during peak usage"
"capacity and performance","The solution shall track system uptime and transaction response times in order to demonstrate operation within acceptable levels"
"capacity and performance","The System shall allow for a minimum of6 users to work at the same time"
"capacity and performance","The system shall be able to handle an average transaction load with an average CPU utilization of no more than 35%-40% of the CPU capacity"
"capacity and performance","The system shall be capable of processing 100% of nursing students and their classes for the next 10 years"
"capacity and performance","The system shall be expected to manage the nursing program curriculum and class or clinical scheduling for a minimum of 5 years"
"capacity and performance","The system shall be scalable and adaptable to meet future growth and expansion needs"
"capacity and performance","The system shall cater to 10 simultaneous users from 9am to 5pm"
"capacity and performance","The system shall have a response time where the average transaction on the server needs to occur on average less than 1 second"
"capacity and performance","The system shall include documentation of product capacities (eg number of users number of transactions per second number of records network load etc) and the baseline representative configurations assumed for these capacities (eg number or type of processors server or workstation configuration and network capacity etc)"
"capacity and performance","The system shall perform with 1500 users as a time"
"capacity and performance","The system shall refresh the display every 60 seconds"
"capacity and performance","The system will need the support capability of up to and beyond 5000 default schedules"
"capacity and performance","The system including programs database and ancillary hardware and related software systems shall be able to retain its performance levels when adding additional users functions and data"
"capacity and performance","The website shall be capable of supporting 10000 customers"
"capacity and performance","There is no limitation to the number of accepted formats"
"capacity and performance","This number is expected to grow 5 times within the next year"
"capacity and performance","This number will increase to 200 by Release 2"
"capacity and performance","This number will increase to 2000 by Release 2"
"capacity and performance","Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST then 3 minutes for 99% of lead volume during off business hours"
"capacity and performance","The response time shall be fast enough to maintain the flow of the game"
"database design","If a primary provider has been entered for that patient they will be selected automatically"
"database design","Clicking Edit next to one of these sections will present you with this patients issues list for that category"
"database design","Displayed is a list of all the forms associated with this encounter"
"database design","To do this select from the Providers list on the left the person whos schedule you wish to set up"
"database design","(13) Procurement records and files for purchases in excess of the simplified acquisition threshold must include the following at a minimum:"
"database design",The information specified in paragraphof this section for each of the qualifying MA organizationÃ¢â‚¬â„¢s MA EPs and MA-affiliated eligible hospitals"
"database design","(5) time stamp falling into the period defined by the starting date and ending date (inclusive) (the user interface shall provide both the option of typing in a specific date in the date format and the option of selecting a date from a calendar for the current month)"
"database design",Is pursuing initiatives to encourage the adoption of certified EHR technology to promote health care quality and the exchange of health care information subject to applicable laws and regulations governing such exchange"
"database design",Generate lists of patients by specific conditions to use for quality improvement reduction of disparities research or outreach"
"database design",Capability to submit electronic data to immunization registries or immunization information systems and actual submission in accordance with applicable law and practice"
"database design",Capability to provide electronic submission of reportable (as required by State or local law) lab results to public health agencies and actual submission in accordance with applicable law and practice and"
"database design"," Capability to provide electronic syndromic surveillance data to public health agencies and actual transmission in accordance with applicable law and practice"
"database design","(Note: A personnel may be assigned to more than one (UC 2 S1))"
"database design","A list of all immunizations the patient has had"
"database design","a URL to an external website containing patient specific instructions (required)"
"database design","additional comments for the patient (required)"
"database design","circulatory-system disease (is diagnosed with an ICD code between 390 and 459 inclusive)"
"database design","List of all laboratory procedures ordered by that LHCP for that diagnosis"
"database design","List of all prescriptions given by that LHCP for that diagnosis"
"database design","The LCHPs average visit satisfaction"
"database design","The LHCPs average treatment satisfaction"
"database design","The quantity of unique patients treated by that LHCP for that diagnosis (each patient is only counted once regardless of the number of office visits)"
"database design","who or when referred a patient to another HCP"
"database design","who or when referred the patient for consultations"
"database design","Office Visit is selected as the Category by default"
"database design","13) Ability to save search criteria and report format through creation of saved views"
"database design","14) Ability to create ad-hoc reports"
"database design","A 1 in the Prv column now indicates that the patient has been billed once for this claim"
"database design","A chronic special-diagnosis-history patient is an alive patient who has been diagnosed with at least one of the following: diabetes mellitus (is diagnosed with ICD code beginning with 250)"
"database design","A clinical lab section shall include the clinical site namethe classinstructorday and time of the lab"
"database design","A drop down menu lets you select the preferred method for transferring prescription information"
"database design","A LHCP creates anUAP"
"database design","A patient can select to report height weight possibly and possibly pedometer readings for those for whom he or she is a patient representative"
"database design","A patient is a registered user of the iTrust Medical Records system (UC1)"
"database design","A patient is added to the list by the LHCP or UAP typing in the patients MIDor name"
"database design","A secret key is personally provided to the user with which the user can reset his or her password"
"database design","A simple form for internal transactions such as patient requests or billing transactions and a referral form"
"database design","A successful login brings you to the appointment calendar"
"database design","A UAP can select to report height or weight or pedometer measurements"
"database design","About CPT)andup to 30 alpha characters giving the nameof the immunization"
"database design","Access the desired sections by clicking on the appropriate tab and enter in the patients data as necessary then click Save"
"database design","Additional issues are entered in the same manner click Back to return to the Patient Summary page and click Add next to the appropriate issue type or click Issues at the top of the page to see a complete list of all issues for this patient"
"database design","Advancing to the appropriate date using the arrows at the top of the screen shows the new appointment listed in the providers schedule"
"database design","Alert evokes when renally excreted drug is ordered"
"database design","All designated HCPs (MIDs and Names) see (UC6)"
"database design","All MIDs and names of people that this person is representing see (UC13)"
"database design","All patient demographic information (address phone etc) see (UC4) and Data Format 61"
"database design","Allowable epidemic queries are malariaand influenza"
"database design","An issue is a medical problem allergy medication surgery or dental issue"
"database design","An admin creates a LHCP an ER a Laboratory Technician (LT) or a public health agent (PHA)"
"database design","An alive patient over 50 years old who has not had a flu shot (CPT codes 90656 90658 90660) during the months Sept - Dec of the last calendar year (or during the months Sept - Dec of the current calendar year if the retrieval time is between Sept - Dec)"
"database design","An alive patient under the age of 19 who has not had proper immunizations per the immunization schedule"
"database design","An alive patient who has not had an office visit for more than one year and who has been diagnosed with diabetes mellitus (is diagnosed with ICD code beginning with 250) asthma (is diagnosed with ICD code beginning with 493) or circulatory-system disease (is diagnosed with an ICD code between 390 and 459 inclusive)"
"database design","An HCP is a registered user of the iTrust Medical Records system (UC2)"
"database design","An LHCP or patient can click the View Appointment Calendar link to view his or her appointments in the current month displayed on a calendar for the current month"
"database design","An LHCP or patient is a registered user of the iTrust Medical Records system (UC2)"
"database design","An LHCP or Public Health Agent (or PHA) is a registered user of the iTrust Medical Records system (UC2)"
"database design","And HCP chooses to addor editpatient specific instructions"
"database design","Another drop-down contains a list of physicians and clinics from the Address Book to which you can refer your patient"
"database design","Anything that is a valid field in data format 64 should be accepted as a column"
"database design","Areas will include results to endorse within the inbox and notifications of orders that have been placed by non-providers or physicians and that need to be cosigned or approved"
"database design","At least 10 percent of all unique patients seen by the EP are provided timely (available to the patient within four business days of being updated in the certified EHR technology) electronic access to their health information subject to the EPÃ¢â‚¬â„¢s discretion to withhold certain information"
"database design","At this time you will need to add each plan as a separate insurance company"
"database design","Authorized users are practitioners and will appear in the appointment calendar"
"database design","Before you begin scheduling appointments youll want to configure some basic information for your users"
"database design","Capability to exchange key clinical information (for example problem list medication list allergies and diagnostic test results) among providers of care and patient authorized entities electronically"
"database design","Capability to exchange key clinical information (for example problem list medication list medication allergies and diagnostic test results) among providers of care and patient authorized entities electronically"
"database design","Capability to submit electronic data to immunization registries or immunization information systems and actual submission according to applicable law and practice"
"database design","Capability to submit electronic syndromic surveillance data to public health agencies and actual submission according to applicable law and practice"
"database design","Check the box next to the desired invoice and click Print Selected Statements to generate an invoice for that patient using a customizable template"
"database design","Choose the correct appointment status from the drop-down list"
"database design","Choosing a pharmacy from the drop down list and clicking Auto Send will use whichever default method was selected when you set up that pharmacy"
"database design","Click Add to add a new medical issue you want to kept track of for this patient"
"database design","Click Add to schedule an office visit"
"database design","Click Edit next to a transaction to edit its contents"
"database design","Click Edit to enter any information that may be incomplete"
"database design","Click expand next to the Appointments section if the list is not already visible"
"database design","Click Find Available to see a list of appointment times available for that provider for the next 7 days"
"database design","Click Generate X12 to create a claim file that is suitable for sending to the clearing house"
"database design","Click inside the Immunization (CVX Code) field & select the correct immunization code using the search dialog provided"
"database design","Click on a persons name to edit their contact information or click Add New to enter a new contact into your address book"
"database design","Click on a providers name to bring up a list of insurance companies and the corresponding ID numbers that have been entered for that provider"
"database design","Click on Insurance Numbers to see a list of your clinics providers and their default ID numbers"
"database design","Click on the name of the new file to view it"
"database design","Click Save to update the status of the appointment"
"database design","Click Save when finished"
"database design","Click the Add a Pharmacy button to enter the contact information for your clinics pharmacy"
"database design","Click the Continue button"
"database design","Click the Provider tab and choose In Office from the Category drop-down list"
"database design","Click the Sent Items tab to view any patient notes that have been addressed to others"
"database design","Click Update List to refresh the billing list and see the updated status of the encounter"
"database design","Clicking OK will mark this item as cleared indicating that billing has been completed for this encounter"
"database design","Clicking Save now links the selected issue to the selected encounter"
"database design","Clicking the Edit Categories button displays a hierarchy of the different types of documents that you can attach to a patient"
"database design","CMS official named in section 20 (or to his or her successor)"
"database design","Complete the remainder of the form as necessary and click Save"
"database design","Continue associating issues with encounters as necessary"
"database design","Continue setting up the Calendar in this fashion until all your practitioners schedules have been entered"
"database design","Currently available risk factors for chronic diseases are defined for Diabetes (Type 1 and Type2) and Heart Disease"
"database design","Demographic information is entered possibly and possibly edited"
"database design","Diphtheria Tetanus Pertussis (90696) six doses: at age 6 weeks at age 4 months at age 6 months at age 15 months at age 4 years at age 11 years catch up schedule: at least 4 weeks between dose 1 and dose 2 at least 4 weeks between dose 2 and dose 3 at least 6 months between doses 3 and 4 at least 6 months between dose 4 and dose 5 at least 5 years between dose 5 and dose 6"
"database design","Direct treatment relationship means a treatment relationship between an individual and a health care provider that is not an indirect treatment relationship"
"database design","Display the CPT Code and the name of the immunization"
"database design","Display the ICD-9CM code and the name of the diagnoses"
"database design","Display the National Drug Code and the name of the prescription"
"database design","Do this by selecting the Repeats checkbox and setting the appropriate frequency & duration"
"database design","Each appointment request is listed as being pending approved or rejected"
"database design","Each row in the list includes the appointment type appointment date and start time duration and the name of either the patient (only for the user being an LHCP) or the LHCP (only for the user being a patient)"
"database design","Each row in the list includes the message subject the name of the sender and timestamp"
"database design","Each State Medicaid HIT plan must include all of the following elements:"
"database design","Enter a hexadecimal code in the Color field or click Pick to select a color from the pop up menu"
"database design","Enter the adjustment amount (or click W to waive the entire remaining balance) and select a reason for the adjustment from the drop-down list provided"
"database design","Enter the appropriate beginning and end dates and select the Occurrence from the drop-down list provided"
"database design","Enter the appropriate information and click Save Form to return to the Encounter summary page"
"database design","Enter the correct name address & contact information for your clinic"
"database design","Enter the payment amount and select Ins2 to indicate that the secondary insurance EOB has been posted"
"database design","Enter the payment amount next to the remaining balance and check Needs secondary billing"
"database design","Enter the source and pay date etc and locate the appropriate invoice using the search function"
"database design","Entering a partial value into one or more fields and clicking the Search button presents you with a list of all insurance companies matching those parameters"
"database design","Entering a Specialty will allow you to narrow your search parameters when writing letters to a particular physician etc"
"database design","ext click on Documents to see a list of patient documents that have been uploaded"
"database design","Fill in this information and click the Save button to add the new number"
"database design","For Â§ 4956(10)Report ambulatory clinical quality measures to CMS or in the case of Medicaid EPs the StatesÃ¢â‚¬â„¢Ã¢â‚¬â„¢ report the ambulatory clinical quality measures selected by CMS electronically to CMS (or in the case of Medicaid EPs the States) in the manner specified by CMS (or in the case of Medicaid EPs the States)"
"database design","For each LHCP the following information is displayed: Name of LHCP linked to contact information for that LHCP"
"database design","For example selecting Detailed from the Established Patient drop-down adds the associated CPT code to the list"
"database design","For instance to view billables from a different time period select Date of Service from the Choose Criteria section choose the desired date range from the drop-down list and click Update List in the top right corner of the screen"
"database design","For State systems interoperability and the current and future visions:"
"database design","Functionality to include a unique task list for each defined position"
"database design","Generate lists of patients by specific conditions to use for quality improvement reduction of disparities research or outreach"
"database design","Generate lists of patients by specific conditions to use for quality improvement reduction of disparities research or outreach"
"database design","Grantees of Departmental awards must take all of the following steps to further this goal:"
"database design","Group proxy functionality is also available for Forwarded Items"
"database design","Haemophilus influenzae (90645) three doses: at 6 weeks at age 4 months at age 12 months catch up schedule: at least 4 weeks between dose 1 and dose 2 and at least 4 weeks between dose 2 and dose 3 if first dose is administered at younger than 12 months if first dose is administered between 12 and 14 months at least 8 weeks between dose 1 and dose 2 and dose three is canceled if first dose is administered at or after 15 months only one dose is required"
"database design","HCP must enter the MID of a patient and then enter or edit demographic information with the exception of the patients security question or password according to data format 61"
"database design","HCPs can return to an office visit and modify any patient specific instruction information or delete one or more patient specific instructions"
"database design","He or she can report the height weight possibly and possibly pedometer readingsfor the patient"
"database design","he system shall provide the ability to modify the guidelines criteria or rules that trigger the reminders"
"database design","Hepatitis A (90633) two doses: at age 12 months at age 18 months: catch up schedule: at least 6 months between dose 1 and dose 2"
"database design","Hepatitis B (90371) three doses: at birth at age 1 month at age 6 months catch up schedule: at least 4 weeks between dose 1 and dose 2 and at least 8 weeks between dose 2 and dose 3"
"database design","Here you can also attach a note to the document associate it with a particular issue or move it to a different category or patient"
"database design","Here you can edit a users Password Facility information and Access Control as well as their authorization status"
"database design","Here you can enter a brief description of the encounter and the date of service"
"database design","How many minutes did you wait in the examination room before seeing your physician?"
"database design","How satisfied were you with the treatment or information you received?"
"database design","How satisfied were you with your office visit?"
"database design","If answer to security question is correct allow user to change their password"
"database design","If it does Click the Continue button"
"database design","If the desired insurance company is not yet entered you can also add it here by completing all the fields and clicking Save as New"
"database design","If the patient is also the insured party then selecting self from the drop-down list will automatically populate the Subscriber section with the relevant data for you"
"database design","If the patient is not already in the system you can select New or Search from the menu to begin entering their information"
"database design","If the requested appointment time does not conflict with any existing appointment for the LHCP the request is saved"
"database design","If the user is not Authorized they will be unable to see the patients medical details such as issues immunizations and prescriptions"
"database design","If you are adding a physician to your address book be sure to include their UPIN and other ID numbers for billing and referrals"
"database design","If you do not enter a number the system will automatically assign one that is equal to its internal patient ID"
"database design","If you have an existing chart for this patient you may enter the chart number under External ID"
"database design","If you have the patient on the phone now would be a good time to confirm that their contact and insurance information is up to date"
"database design","If your clinic is a billing location you may also want to check the Accepts Assignment box"
"database design","Implement drug-drug and drug-allergy interaction checks"
"database design","Implement drug-formulary checks"
"database design","In both cases the LHCP is presented the name of the patient and must confirm the add or delete"
"database design","In each row the descriptive name is a link to the URL containing patient specific instructions"
"database design","In practice many insurance companies have multiple insurance plans with a separate billing address for each plan"
"database design","In the Add New Person dialog box select a type and enter their name and address"
"database design","In the Now posting for list be sure to select Patient"
"database design","In the Search or Add Patient page enter the patients name & birth date"
"database design","In this section well discuss setting up a providers schedule in the calendar and adding patient appointments"
"database design","Included is a search feature where you can search for and select from the thousands of billing codes in the database"
"database design","Incorporate clinical lab-test results into EHR as structured data"
"database design","Indicate whether your facility is a billing possibly and possibly service location by clicking the checkbox next to the appropriate option"
"database design","Information includes patient demographics type of specimen date or time collected order comments in a readable format (no codes)"
"database design","Insurance companies require this for billing in order to justify paying for procedures"
"database design","Invoice adjustments may also be made here"
"database design","It is used to set (and view) the relationships between issues and encounters"
"database design","Justification is the association of ICD9 codes with procedure codes"
"database design","Logging in as a provider presents you with the Calendar page showing only that providers schedule by default"
"database design","Look for an appropriate billing code by entering a search term in the box to the left of the Search button"
"database design","Maintain active medication allergy list"
"database design","Maintain active medication list"
"database design","Maintain an up-to-date problem list of current and active diagnoses"
"database design","Make sure to enter the correct duration for the appointment and click Save"
"database design","Measles Mumps Rubella (90707) two doses: at age 12 months at age 4 years catch up schedule: at least 4 weeks between dose 1 and dose 2"
"database design","More than 10 percent of all unique patients admitted to the eligible hospitalÃ¢â‚¬â„¢s or CAHÃ¢â‚¬â„¢s inpatient or emergency department (POS 21 or 23) are provided patient-specific education resources"
"database design","More than 50 percent of all unique patients admitted to the eligible hospitalÃ¢â‚¬â„¢s or CAHÃ¢â‚¬â„¢s inpatient or emergency department (POS 21 or 23) have demographics recorded as structured data"
"database design","More than 60 percent of all unique patients with at least one medication in their medication list admitted to the eligible hospitalÃ¢â‚¬â„¢s or CAHÃ¢â‚¬â„¢s inpatient or emergency department (POS 21 or 23) have at least one medication order entered using CPOE"
"database design","More than 60 percent of all unique patients with at least one medication in their medication list seen by the EP have at least one medication order entered using CPOE"
"database design","More than 80 percent of all unique patients admitted to the eligible hospitalÃ¢â‚¬â„¢s or CAHÃ¢â‚¬â„¢s inpatient or emergency department (POS 21 or 23) have at least one entry (or an indication that the patient is not currently prescribed any medication) recorded as structured data"
"database design","More than 80 percent of all unique patients admitted to the eligible hospitalÃ¢â‚¬â„¢s or CAHÃ¢â‚¬â„¢s inpatient or emergency department (POS 21 or 23) have at least one entry or an indication that no problems are known for the patient recorded as structured data"
"database design","Mousing over the patients name displays a toot-tip with information about that patient such as date of birth"
"database design","Next click the time at which that provider is scheduled to enter the office"
"database design","Next select History at the top of the Patient Summary page This brings up a page containing information about the patients medical history"
"database design","Next select the Fee Sheet from the Administrative drop-down list"
"database design","NHCS Classification of Diseases Functioning and Disability) for the diagnosis a classification that the diagnosis is either chronic or long-term OR short term andup to 30 alphanumeric characters giving the nameof the diagnosis"
"database design","Note that the issue that was just clicked on has been highlighted"
"database design","Note that the new contact has been added to the list"
"database design","Notice each status has a unique symbol associated with it"
"database design","Notice that the right side of the Patient Summary page now shows an updated list of all active issues immunizations and prescriptions"
"database design","Notice that the source and pay date from the previous window have been copied over this saves time in the common case where a single check from the insurance company pays for multiple claims"
