class,sentence
database design,capture identity prescribing provider for all medication orders
database design,capture in discrete field allergy adverse reaction specific immunization
database design,capture maintain display free text comments associated with problem or diagnosis
database design,capture maintain display as discrete data elements all problems diagnoses associated with patient
database design,capture maintain display as discrete data lists medications other agents which patient has had allergic other adverse reaction
database design,capture store display manage patient history
database design,check for potential interactions between medications be prescribed medication allergies intolerances listed in record alert at time medication prescribing ordering potential interactions exist
database design,check for potential interactions between medications be prescribed ordered current medications alert at time medication prescribing ordering potential interactions exist
database design,chronologically display consents authorizations
database design,cosign note record date time signature
database design,create assign tasks user role
database design,create display summary list for each patient includes at minimum active problem diagnosis list current medication list medication allergies adverse reactions create clinical documentation notes henceforth documentation
database design,create maintain directory clinical personnel external organization users system facilitate communication information exchange
database design,create hard copy electronic report summary information procedures medications labs immunizations allergies vital signs
database design,create patient specific instructions
database design,create prescription other medication orders with sufficient information for correct filling dispensing pharmacy
database design,create provider specific medication lists most commonly prescribed drugs with default route dose frequency quantity
database design,create referral orders with detail adequate for correct routing
database design,create site specific care plan protocol guideline documents
database design,define set items be ordered as group
database design,define one more reports as formal health record for disclosure purposes
database design,designate task as completed
database design,display dose calculator for patient specific dosing based on weight
database design,display schedule patient appointments populated either through data entry in system itself through external application inter operating with system
database design,display alerts based on established guidelines
database design,display hits c ccd documents file them as intact documents in ehr
database design,display information which has been inactivated removed from allergy adverse reaction list
database design,display medical eligibility obtained from patients insurance carrier populated either through data entry in system itself through external application inter operating with system
database design,display medication history for patient
database design,display non numeric current historical test results as textual data
database design,display outstanding orders for multiple patients as opposed outstanding orders for single patient
database design,display reminders for disease management preventive wellness services in patient record
database design,display allergy list including date entry
database design,display associated problem diagnosis indication on printed prescription
database design,display created instructions possibly possibly prompts ordering diagnostic tests procedures
database design,display on demand potential drug allergy interactions drug drug interactions drug diagnosis interactions based on current medications active allergies active problems
database design,document reasons disease management preventive services wellness prompts were overridden
database design,document disease management preventive service has been performed with associated dates other relevant details recorded
database design,document preventive disease management service has been performed based on activities documented in record eg vitals signs taken
database design,document verbal telephone communication into patient record
database design,enter structured response overriding drug drug drug allergy intolerance warning
database design,enter free text notes
database design,enter further specify in discrete field patient takes no medications
database design,enter uncoded free text medications medications on vendor provided medication database information insufficient completely identify medication
database design,establish criteria for disease management wellness preventive services based on clinical data problem diagnosis list current medications
database design,establish criteria for disease management wellness preventive services based on patient demographic data minimally age gender
database design,exclude medication from current medication list eg marked inactive erroneous completed discontinued document reason for such action
database design,filter sort results type test test date
database design,filter search order notes associated diagnosis within patient record
database design,filter search order notes provider finalized note
database design,finalize note ie change status note from in progress complete so any subsequent changes recorded as such
database design,generate format patient summary documents per following specifications hits summary patient record content information will include patient demographics medications medication allergies generated xml documents must demonstrate use industry standard vocabularies terminologies
database design,generate hardcopy electronic output part all individual patients medical record
database design,generate reports consisting all part individual patients medical record eg patient summary
database design,generate reports clinical administrative data using either internal external reporting tools
database design,identify certain information as confidential only make accessible appropriately authorized users
database design,identify criteria for disease management preventive wellness services based on patient demographic data age gender
database design,identify criteria for disease management preventive wellness services based on clinical data problem diagnosis list current medications lab values
database design,identify medication samples dispensed including lot number expiration date
database design,identify preventive services tests counseling due on individual patient
database design,identify full content modified note both original content content resulting after any changes corrections clarifications addenda etc finalized note
database design,include demographic information in reports
database design,include in order set order types including but limited medications laboratory tests imaging studies procedures referrals
database design,index scanned documents associate date document type document
database design,indicate patient has completed advance directive
database design,indicate type advance directives such as living will durable power attorney do resuscitate order
database design,indicate advance directives were last reviewed
database design,individualize alerts address patients specific clinical situation
database design,link results original order
database design,maintain coded list medications including unique identifier for each medication
database design,maintain coded list problems diagnoses
database design,maintain directory all clinical personnel currently use access system
database design,maintain directory which contains identifiers required for licensed clinicians support practice medicine including at minimum state medical license dea npi
database design,maintain medication ordering dates
database design,maintain other dates associated with medications including start modify renewal end dates as applicable
database design,maintain onset date problem diagnosis
database design,maintain resolution date problem diagnosis
database design,merge patient information from two patient records into single patient record
database design,modify one more parameters saved report specification generating report using specification
database design,modify inactivate item on allergy adverse reaction list
database design,modify site specific standard care plan protocol guideline documents obtained from outside sources
database design,modify rules parameters upon which guideline related alerts based
database design,notify provider patients due overdue for disease management preventive wellness services
database design,notify relevant providers ordering copy new results have been received
database design,order diagnostic tests including labs imaging studies
database design,override guidelines
database design,prescribe fractional amounts medication eg tsp tablet
database design,prescribe order medication despite alerts for interactions possibly possibly allergies intolerances being present
database design,prescribe order uncoded nonformulary medications
database design,present list tasks user role
database design,prevent specified from accessing designated patients chart
database design,produce list patients due overdue for disease management preventive wellness services
database design,produce patient instructions patient educational materials which may reside within system be provided through links external source
database design,produce reports based on absence clinical data element eg lab test has been performed blood pressure has been measured in last year
database design,reassign route tasks from one another user
database design,receive display information received through electronic prescription eligibility checking
database design,receive store general laboratory results using hl oru message standard
database design,receive store in patients record display textbased outside reports
database design,record patient specific instructions educational material were provided patient
database design,record chronicity chronic acute selflimiting etc problem diagnosis
database design,record date changes made patients medication list identity made changes
database design,record prescribing medications including identity prescriber
database design,record id date all updates problem diagnosis list
database design,record date stamp for prescription related events such as initial creation renewal refills discontinuation cancellation prescription
database design,record id date time stamp for all referral related events
database design,remove task without completing task
database design,respond request for refill sent from pharmacy
database design,retrieve indexed scanned documents based on document type date
database design,save note in progress prior finalizing note
database design,save report parameters for generating subsequent reports
database design,save scanned documents as images
database design,send query verify prescription drug insurance eligibility apply response formulary benefit files determine coverage
database design,send electronic prescription pharmacy
database design,set severity level at which drug interaction warnings should be displayed
database design,specify report parameters sort filter criteria based on patient demographic clinical data eg all male patients over diabetic have hbac value over on certain medication
database design,specify role each provider associated with patient such as encounter provider primary care provider attending resident consultant using structured data
database design,specify type allergic adverse reaction in discrete data field
database design,store display administrative documents eg privacy notices
database design,store more than one identifier for each patient record
database design,store display print patient consent forms
database design,update patient history modifying adding removing items from patient history as appropriate
database design,update display patient specific medication list based on current medication orders prescriptions
database design,update clinical decision support guidelines associated reference material
database design,update disease management guidelines any associated reference material
database design,update preventive services wellness guidelines any associated reference material
database design,update clinical content rules utilized generate clinical decision support reminders alerts
database design,view previously generated reports all users specific users
database design,view status information for ordered services
database design,view rationale for drug interaction alert
database design,new allergy documented check for potential interaction between newly documented allergy patients current medications alert such interactions exist
database design,store demographic information in patient medical record in separate discrete data fields such data extraction tools retrieve these data
database design,store location identification paper documents attributes shall minimally include folder box physical location
database design,support messaging between users
database design,supports historical patient lookup functionality such as viewing patients locations eg where they have been transferred from view all patients have historically been in given location during time period
database design,supports patient locator functionality such as viewing patients their location for information help desk
database design,supports scheduling for multiple slot types
database design,supports scheduling for appointment types
database design,transactions page contains two basic form types
database design,choose include omit wide variety patient information
database design,clicks number view message inbox
database design,interface shall be initially populated with values filtering criteria from previously saved filter
database design,presented with two windows calendar below messages page
database design,provides zip code or hospital code optional physician type from pull down list see data format general surgeon heart specialist pediatrician ob gyn
database design,selects message from list read clicking read link beside row for message then message subject name sender name recipient timestamp message text shall be displayed in new page
database design,selects appointment from calendar read its details clicking read details link beside below appointment type name displayed for appointment then details for appointment shall be displayed in new page including appointment type appointment date start time comment name either patient only for being lhcp lhcp only for being patient
database design,selects office visit from calendar read its details clicking read details link beside below icdcm code ie diagnose displayed for visit then details for visit shall be displayed in new page including date office visit note text diagnoses ie icdcm codes medical procedures performed ie cpt code lab procedures ordered loinc code see data format medications prescribed ie ndc see data format immunizations given ie cpt code see uc s name doctor prescribed medication
database design,these images may be stored within system be provided through direct linkage external sources
database design,these include general reports such as appointment encounter reports billing reports patient specific reporting
database design,these instructions may reside within system be provided through links external sources
database design,these issues related in they all be associated with multiple encounters
database design,these may be referrals requests from either patient doctor legal transactions
database design,they also be associated with encounters for billing purposes able authorize encounter information entered nonauthorized users so encounter will be billable
database design,they must be accessible from within patients chart labeled datetime stamped included in patient encounter document
database design,allows easily spot many types errors such as appointments with missing encounters encounters with missing appointments missing charges authorizations justifications required but done
database design,also selects newly added insurance company for patient
database design,brings up list any contacts matching your search parameters
database design,brings patients summary page as well as past encounters documents page which lists any previous encounters files were uploaded for patient
database design,dialog contains list all issues encounters associated with patient
database design,includes pharmacy insurance company information as well as types documents your clinic accepts
database design,information will be used for billing so make sure include direct billing information enter your facilitys npi clia number
database design,done same way with exception duration which in case nonzero
database design,especially useful with medical problems where may want quickly determine which encounters treated particular problem which problems were treated particular encounter
database design,useful printing so second later notices may be worded differently from initial statement
database design,where upload era file click help in upper righthand corner for more information begin inputting payments manually
database design,may reside within system be provided through links external sources
database design,page contains form for entering information on any immunizations patient has received
database design,page contains list your clinics users
database design,pops up lightbox containing form for editing your clinics information
database design,presents with form for entering prescription data including dosage refills whether generic over the counter substitutions allowed for patient
database design,should include ability gather reports based on subdivisions surgery
database design,will bring up list all patients in your system matching name
database design,will need include multiple resource lists
database design,will pop up light box with text field for entering note as well as drop down lists for selecting type note person note addressed
database design,will present with list all contacts currently contained in your address book
database design,will present with options generate variety printable electronic claims reports
database design,would include examples like placing record result review acknowledgement in patients chart
database design,add more categories click on desired parent folders name fill in name new document type click add category
database design,add one these clearing houses click on x partners then click add new partner button
database design,authorize your practitioners be sure click provider check box
database design,begin encounter click on patients name in appointment calendar
database design,begin log in open emr locate patient for which would like add note
database design,change status given appointment doubleclick on appointment block
database design,create new facility click add enter relevant data as did for other clinic
database design,do simply click on name clinic in case your clinic name here edit its details
database design,locate patient in system enter all part their name into search field in bottom left corner screen below navigation list click name
database design,open encounter begin entering data click on new entry in encounters list then click edit next providers name
database design,prescribe medication for patient click edit next prescriptions section in patient summary window click add
database design,see fee sheet has been associated with encounter click visit history in navigation menu go list encounters for patient
database design,see new file click on plus sign next appropriate document category which displays list all files in category
database design,view another providers schedule select desired from list left calendar
database design,transactions somewhat similar but record events have already occurred
database design,type your note in text box click save as new note
database design,upon recording results lab procedure status updated pending
database design,use certified ehr technology identify patientspecific education resources provide those resources patient appropriate
database design,use computerized provider order entry cpoe for medication orders directly entered any licensed healthcare professional enter orders into medical record per state local professional guidelines
database design,validating have data in height weight allergy fields
database design,well start setting up your facility for your users
database design,chronic special diagnosis history patient satisfies all three conditions has multiple prescriptions satisfying third condition patient listed in list only once
database design,access chart restricted provide means for appropriately authorized users break glass for emergency situations
database design,ordering renally excreted nephrotoxic medication for patient with recent creatinine result indicates impaired renal function dosage adjustment recommended
database design,date appointment request has passed no longer displayed
database design,finished click create new patient
database design,finished click save update calendar
database design,finished entering your clinics information click save button update your clinic return facility administration page
database design,finished return transaction list click add
database design,finished click save
database design,add new insurance company clicking add company
database design,also add lunch break in your practitioners schedules
database design,also choose make repeating event which allows set up event only once for given period time
database design,also type note into comments line more information needed
database design,change category new patient their first visit
database design,change start date number days shown click search display new list using those parameters
database design,search for particular contact in address book entering their name possibly possibly specialty at top page clicking search
database design,see cpt icd codes listed next new encounter as well as soap form was added earlier
database design,see prescription added earlier has been listed in medications section
database design,see symbol next appointment time has changed indicate its new status
database design,may click on issue in list at any time edit it
database design,may use billing search tool choose from variety criteria with which search available encounters
database design,should now be presented with patient summary page which contains summary patients identifying information including employment insurance provider information in sections may be expanded collapsed at will clicking link right desired section
database design,youll see soap form has been added list forms for encounter
database design,your clinic may have additional facilities in which care given such as hospital
database design,your system should be configured with appropriate set forms for insurance companies clearing houses used your clinic
database design,eligible hospital cah has enabled functionality has access at least one internal external formulary for entire ehr reporting period
database design,has capability have rules based chemotherapy management component
database design,present structured allergy information support medication ordering process
database design,administration also includes sections for managing your facilitys forms practice information calendar categories lists database administration more
database design,capture structured data in patient history
database design,maintain make available historic information for demographic data including prior names addresses phone numbers email addresses
database design,modify demographic information about patient
database design,hese documents may reside within system be provided through links external sources
database design,indicate normal abnormal results based on data provided from original data source
privacy,agrees in event cms determines has reasonable belief has made may have made use reuse disclosure aforesaid file authorized agreement another written authorization from appropriate system manager person designated in section agreement cms at its sole discretion may require promptly investigate report cms usersdeterminations regarding any alleged actual unauthorized use reuse disclosure promptly resolve any problems identified investigation requested cms submit formal response allegation unauthorized use reuse disclosure requested cms submit corrective action plan with steps designed prevent any future unauthorized uses reuses disclosures requested cms return data files cms destroy data files received from cms under agreement
privacy,covered entity may obtain consent individual use disclose protected health information carry out treatment payment health care operations
privacy,covered entity may use disclose protected health information for its own treatment payment health care operations
privacy,covered entity may use disclose protected health information extent such use disclosure required law use disclosure complies with limited relevant requirements such law
privacy,authorization other express legal permission from individual use disclose protected health information for research
privacy,individual has right receive accounting disclosures protected health information made in six years prior date on which accounting requested except for disclosures
privacy,not use further disclose information other than as permitted data use agreement as otherwise required law
privacy,conduct evaluation relating medical surveillance workplace
privacy,covered entity may disclose protected health information for treatment activities health care provider
privacy,covered entity must meet requirements described in paragraphs section for uses disclosures required law
privacy,covered entity performs multiple covered functions may use disclose protected health information individuals receive covered entitys health plan health care provider services but both only for purposes related appropriate function being performed
privacy,null objections filed individual have been resolved court administrative tribunal disclosures being sought consistent with such resolution
privacy,consent under paragraphs section shall be effective permit use disclosure protected health information authorization under required another condition must be met for such use disclosure be permissible under subpart
privacy,evaluate whether individual has work related illness injury
privacy,use appropriate safeguards prevent use disclosure information other than as provided for data use agreement
privacy,covered entity must temporarily suspend individuals right receive accounting disclosures health oversight agency law enforcement official as provided in or respectively for time specified such agency official such agency official provides covered entity with written statement such accounting individual would be reasonably likely impede agencys activities specifying time for which such suspension required
privacy,covered entity may disclose protected health information another covered entity health care provider for payment activities entity receives information
privacy,protect against any reasonably anticipated uses disclosures such information permitted required under subpart part 
privacy,covered entity may disclose protected health information another covered entity for health care operations activities entity receives information each entity either has had relationship with individual subject protected health information being requested protected health information pertains such relationship disclosure is
privacy,participates in organized health care arrangement may disclose protected health information about individual another covered entity participates in organized health care arrangement for any health care operations activities organized health care arrangement
privacy,description including at least one example types uses disclosures covered entity permitted subpart make for each following purposes treatment payment health care operations
privacy,statement covered entity required law maintain privacy protected health information provide individuals with notice of its legal duties privacy practices with respect protected health information
privacy,describe those employees classes employees other persons under control plan sponsor be given access protected health information be disclosed provided any employee person receives protected health information relating payment under health care operations other matters pertaining group health plan in ordinary course business must be included in such description
privacy,develop criteria designed limit protected health information disclosed information reasonably necessary accomplish purpose for which disclosure sought and
privacy,develop criteria designed limit request for protected health information information reasonably necessary accomplish purpose for which request made and
privacy,establish permitted uses disclosures such information limited data set recipient consistent with paragraphs section
privacy,if extent permitted required applicable provision state other law including applicable case law may disclose provide access in accordance with protected health information about unemancipated minor parent guardian other person acting in loco parentis
privacy,not use further disclose information other than as permitted required contract as required law
privacy,not use further disclose information other than as permitted required plan documents as required law
privacy,prohibits parties from using disclosing protected health information for any purpose other than litigation proceeding for which such information was requested and
privacy,contract may permit business associate use disclose protected health information for proper management administration business associate as provided in paragraphs section and
privacy,covered entity covered health care provider member workforce such employer provides health care individual at request employer
privacy,covered entity in exercise professional judgment believes disclosure necessary prevent serious harm individual other potential victims or
privacy,name protocol other research activity
privacy,right request restrictions on certain uses disclosures protected health information as provided including statement covered entity required agree requested restriction
privacy,those persons classes persons as appropriate in its workforce need access protected health information carry out their duties and
privacy,collect report adverse events similar activities with respect food dietary supplements product defects problems including problems with use labeling product biological product deviations
privacy,use originator psychotherapy notes for treatment
privacy,use disclosure sought solely review protected health information as necessary prepare research protocol for similar purposes preparatory research
privacy,description each other purposes for which covered entity permitted required subpart use disclose protected health information without individuals written authorization
privacy,for each such person class persons category categories protected health information which access needed any conditions appropriate such access
privacy,if individual unable agree because incapacity law enforcement other public official authorized receive report represents protected health information for which disclosure sought intended be used against individual immediate enforcement activity depends upon disclosure would be materially adversely affected waiting until individual able agree disclosure
privacy,if extent prohibited applicable provision state other law including applicable case law may disclose provide access in accordance with protected health information about unemancipated minor parent guardian other person acting in loco parentis and
privacy,requires return covered entity destruction protected health information including all copies made at end litigation proceeding
privacy,review requests for disclosure on individual basis in accordance with such criteria
privacy,such change effective only with respect protected health information created received after effective date notice
privacy,contract may permit business associate provide data aggregation services relating health care operations covered entity
privacy,party seeking protected health information has requested qualified protective order from such court administrative tribunal
privacy,protected health information disclosed consists findings concerning work related illness injury workplace related medical surveillance
privacy,right receive confidential communications protected health information as provided as applicable
privacy,rack fda regulated products
privacy,use appropriate safeguards prevent use disclosure information other than as provided for its contract
privacy,use disclosure covered entity for its own training programs in which students trainees practitioners in mental health learn under supervision practice improve their skills in group joint family individual counseling or
privacy,business associate obtains reasonable assurances from person information disclosed will be held confidentially used further disclosed only as required law for purpose for which was disclosed person and
privacy,group health plan health insurance issuer hmo with respect group health plan may disclose protected health information sponsor plan
privacy,not use disclose information for employment related actions decisions in connection with any other benefit employee benefit plan plan sponsor
privacy,employer needs such findings in order comply with its obligations under cfr parts through cfr parts through under state law having similar purpose record such illness injury carry out responsibilities for workplace medical surveillance and
privacy,right inspect copy protected health information as provided 
privacy,enable product recalls repairs replacement lookback including locating notifying individuals have received products have been recalled withdrawn subject lookback or
privacy,use disclosure covered entity defend itself in legal action other proceeding brought individual and
privacy,covered health care provider provides written notice individual protected health information relating medical surveillance workplace work related illnesses injuries disclosed employer
privacy,right amend protected health information as provided 
privacy,conduct post marketing surveillance
privacy,right receive accounting disclosures protected health information as provided and
privacy,covered entity may disclose protected health information business associate may allow business associate create receive protected health information on its behalf covered entity obtains satisfactory assurance business associate will appropriately safeguard information
privacy,covered entity may use disclose limited data set under paragraphs section only for purposes research public health health care operations
privacy,covered entity may in accordance with paragraphs section disclose family member other relative close personal friend individual any other person identified individual protected health information directly relevant such persons involvement with individuals care payment related individuals health care
privacy,covered entity must limit any request for protected health information which reasonably necessary accomplish purpose for which request made requesting such information from other covered entities
privacy,covered entity must permit individual request covered entity restrict uses disclosures protected health information about individual carry out treatment payment health care operations disclosures permitted under 
privacy,covered entity maintains web site provides information about covered entitys customer services benefits must prominently post its notice on web site make notice available electronically through web site
privacy,covered health care provider may condition provision research related treatment on provision authorization for use disclosure protected health information for such research under section
privacy,covered health care provider must permit individuals request must accommodate reasonable requests individuals receive communications protected health information from covered health care provider alternative means at alternative locations
privacy,covered health care provider providing emergency health care in response medical emergency other than such emergency on premises covered health care provider may disclose protected health information law enforcement official such disclosure appears necessary alert law enforcement to
privacy,description information be used disclosed identifies information in specific meaningful fashion
privacy,health plan government program providing public benefits may disclose protected health information relating eligibility for enrollment in health plan another agency administering government program providing public benefits sharing eligibility enrollment information among such government agencies maintenance such information in single combined data system accessible all such government agencies required expressly authorized statute regulation
privacy,public health authority authorized law collect receive such information for purpose preventing controlling disease injury disability including but limited reporting disease injury vital events such as birth death conduct public health surveillance public health investigations public health interventions at direction public health authority official foreign government agency acting in collaboration with public health authority
privacy,disclose protected health information plan sponsor carry out plan administration functions plan sponsor performs only consistent with provisions paragraphs section
privacy,disclosure code other means record identification designed enable coded otherwise deidentified information be reidentified constitutes disclosure protected health information and
privacy,establish permitted required uses disclosures such information business associate
privacy,establish permitted required uses disclosures such information plan sponsor provided such permitted required uses disclosures may be inconsistent with subpart
privacy,except as provided under paragraphs section as otherwise authorized under group health plan in order disclose protected health information plan sponsor provide for permit disclosure protected health information plan sponsor health insurance issuer hmo with respect group health plan must ensure plan documents restrict uses disclosures such information plan sponsor consistent with requirements subpart
privacy,for any type disclosure makes on routine recurring basis must implement policies procedures which may be standard protocols limit protected health information disclosed amount reasonably necessary achieve purpose disclosure
privacy,if opportunity object uses disclosures required paragraphs section cannot practicably be provided because individuals incapacity emergency treatment circumstance covered health care provider may use disclose some all protected health information permitted paragraphs section for facilitys directory such disclosure is
privacy,addition information required paragraphs section elects limit uses disclosures permitted make under subpart covered entity may describe its more limited uses disclosures in its notice provided covered entity may include in its notice limitation affecting its right make use disclosure required law permitted
privacy,response order court administrative tribunal provided covered entity discloses only protected health information expressly authorized such order or
privacy,notwithstanding any provision subpart other than transition provisions in must obtain authorization for any use disclosure protected health information for marketing except communication in form of
privacy,contract other arrangement between covered entity business associate may permit business associate use information received business associate in its capacity as business associate covered entity necessary
privacy,covered entity may disclose only following information
privacy,covered entity may use disclose protected health information for fundraising purposes as otherwise permitted paragraphs section unless statement required included in covered entitys notice
privacy,extent disclosure required law disclosure complies with limited relevant requirements such law
privacy,use following protected health information maintain directory individuals in its facility
privacy,covered entity required agree restriction
privacy,covered entity may use disclose protected health information notify assist in notification including identifying locating family member personal representative individual another person responsible for care individual individuals location general condition death
privacy,covered entity may use protected health information create limited data set meets requirements paragraphs section disclose protected health information only business associate for such purpose whether limited data set be used covered entity
privacy,covered entity must reasonably safeguard protected health information limit incidental uses disclosures made pursuant otherwise permitted required use disclosure
privacy,covered entity correctional institution covered health care provider acting under direction correctional institution may deny in whole in part inmates request obtain copy protected health information obtaining such copy would jeopardize health safety security custody rehabilitation individual other inmates safety any officer employee other person at correctional institution responsible for transporting inmate
privacy,covered entity government agency administering government program providing public benefits may disclose protected health information relating program another covered entity government agency administering government program providing public benefits programs serve same similar populations disclosure protected health information necessary coordinate covered functions such programs improve administration management relating covered functions such programs
privacy,health plan must permit individuals request must accommodate reasonable requests individuals receive communications protected health information from health plan alternative means at alternative locations individual clearly states disclosure all part information could endanger individual
privacy,public health authority other appropriate government authority authorized law receive reports child abuse neglect
privacy,use disclosure required permitted with respect oversight originator psychotherapy notes
privacy,disclose for directory purposes such information members clergy except for religious affiliation other persons ask for individual name
privacy,except as permitted paragraphs section covered entity may disclose for purposes identification location under paragraphs section any protected health information related individuals dna dna analysis dental records typing samples analysis body fluids tissue
privacy,for request made on routine recurring basis must implement policies procedures which may be standard protocols limit protected health information requested amount reasonably necessary accomplish purpose for which request made
privacy,for covered entity apply change in its more limited uses disclosures protected health information created received prior issuing revised notice in accordance with notice must include statements required paragraph section
privacy,government benefit programs for which health information relevant beneficiary eligibility
privacy,if has reserved its right under change privacy practice stated in notice covered entity bound privacy practices as stated in notice with respect protected health information created received while such notice in effect
privacy,if deidentified information reidentified may use disclose such reidentified information only as permitted required subpart
privacy,if individual agrees disclosure or
privacy,response subpoena discovery request other lawful process accompanied order court administrative tribunal if
privacy,not permit health insurance issuer hmo with respect group health plan disclose protected health information plan sponsor except as permitted paragraph
privacy,provide group health plan will disclose protected health information plan sponsor only upon receipt certification plan sponsor plan documents have been amended incorporate following provisions plan sponsor agrees to
privacy,contract other arrangement between covered entity business associate may permit business associate disclose information received business associate in its capacity as business associate for purposes described in paragraphs section if
privacy,covered health care provider must inform individual provide opportunity object uses disclosures for directory purposes as required paragraphs section becomes practicable do so
privacy,group health plan health insurance issuer hmo with respect group health plan may disclose summary health information plan sponsor plan sponsor requests summary health information for purpose of
privacy,name other specific identification person class persons authorized make requested use disclosure
privacy,changes privacy practice stated in notice described in makes corresponding changes its policies procedures may make changes effective for protected health information created received prior effective date notice revision covered entity has in accordance with included in notice statement reserving its right make such change in its privacy practices or
privacy,covered entity may condition provision health care solely for purpose creating protected health information for disclosure third party on provision authorization for disclosure protected health information such third party
privacy,covered entity agrees restriction under paragraphs section may use disclose protected health information in violation such restriction except individual requested restriction in need emergency treatment restricted protected health information needed provide emergency treatment covered entity may use restricted protected health information may disclose such information health care provider provide such treatment individual
privacy,person subject jurisdiction food drug administration fda with respect fda regulated product activity for which person has responsibility for purpose activities related quality safety effectiveness such fda regulated product activity
privacy,individuals access protected health information created obtained covered health care provider in course research includes treatment may be temporarily suspended for as long as research in progress provided individual has agreed denial access consenting participate in research includes treatment covered health care provider has informed individual right access will be reinstated upon completion research
privacy,not disclose may permit health insurance issuer hmo disclose protected health information plan sponsor as otherwise permitted paragraph unless statement required included in appropriate notice and
privacy,group health plan health insurance issuer hmo with respect group health plan may disclose plan sponsor information on whether individual participating in group health plan enrolled in has disenrolled from health insurance issuer hmo offered plan
privacy,name other specific identification person class persons covered entity may make requested use disclosure
privacy,extent disclosure expressly authorized statute regulation and
privacy,description each purpose requested use disclosure
privacy,person may have been exposed communicable disease may otherwise be at risk contracting spreading disease condition covered entity public health authority authorized law notify such person as necessary in conduct public health intervention investigation or
privacy,individuals access protected health information contained in records subject privacy act usc may be denied denial access under privacy act would meet requirements law
privacy,entities subject civil rights laws for which health information necessary for determining compliance
privacy,disclose protected health information plan sponsor for purpose employmentrelated actions decisions in connection with any other benefit employee benefit plan plan sponsor
privacy,expiration date expiration event relates individual purpose use disclosure
privacy,individuals access may be denied protected health information was obtained from someone other than health care provider under promise confidentiality access requested would be reasonably likely reveal source information
privacy,for purposes paragraphs section qualified protective order means with respect protected health information requested under paragraphs section order court administrative tribunal stipulation parties litigation administrative proceeding that
privacy,notwithstanding paragraphs section may disclose protected health information in response lawful process described in paragraphs section without receiving satisfactory assurance under paragraphs section covered entity makes reasonable efforts provide notice individual sufficient meet requirements paragraphs section seek qualified protective order sufficient meet requirements paragraphs section
privacy,covered entity permitted use disclose protected health information as follows
privacy,covered entity required disclose protected health information
privacy,covered entity may deny individual access without providing individual opportunity for review in following circumstances
privacy,covered entity may disclose protected health information about individual has died law enforcement official for purpose alerting law enforcement death individual covered entity has suspicion such death may have resulted from criminal conduct
privacy,covered entity may disclose protected health information as authorized extent necessary comply with laws relating workers compensation other similar programs established law provide benefits for work related injuries illness without regard fault
privacy,covered entity may disclose protected health information for law enforcement purpose law enforcement official conditions in paragraph section met as applicable
privacy,covered entity may disclose protected health information for public health activities purposes described in paragraph to
privacy,covered entity may disclose protected health information in course any judicial administrative proceeding
privacy,covered entity may disclose protected health information coroner medical examiner for purpose identifying deceased person determining cause death other duties as authorized law
privacy,covered entity may disclose protected health information health oversight agency for oversight activities authorized law including audits civil administrative criminal investigations inspections licensure disciplinary actions civil administrative criminal proceedings actions other activities necessary for appropriate oversight of
privacy,covered entity may disclose protected health information authorized federal officials for conduct lawful intelligence counterintelligence other national security activities authorized national security act usc et seq implementing authority eg executive order 
privacy,covered entity may disclose protected health information authorized federal officials for provision protective services president other persons authorized usc foreign heads state other persons authorized usc for conduct investigations authorized usc 
privacy,covered entity may disclose protected health information funeral directors consistent with applicable law as necessary carry out their duties with respect decedent
privacy,covered entity may disclose protected health information
privacy,covered entity may disclose correctional institution law enforcement official having lawful custody inmate other individual protected health information about such inmate individual correctional institution such law enforcement official represents such protected health information necessary for
privacy,covered entity may disclose law enforcement official protected health information covered entity believes in good faith constitutes evidence criminal conduct occurred on premises covered entity
privacy,covered entity may use disclose protected health information except as permitted required subpart subpart part subchapter
privacy,covered entity may use disclose protected health information individuals armed forces personnel for activities deemed necessary appropriate military command authorities assure proper execution military mission appropriate military authority has published notice in federal register following information
privacy,covered entity may use disclose protected health information individuals foreign military personnel their appropriate foreign military authority for same purposes for which uses disclosures permitted for armed forces personnel under notice published in federal register pursuant paragraph section
privacy,covered entity may use disclose limited data set under paragraphs section only covered entity obtains satisfactory assurance in form data use agreement meets requirements section limited data set recipient will only use disclose protected health information for limited purposes
privacy,covered entity may use disclose protected health information for research regardless source funding research provided that
privacy,covered entity may use disclose protected health information public private entity authorized law its charter assist in disaster relief efforts for purpose coordinating with such entities uses disclosures permitted paragraphs section
privacy,covered entity may use disclose protected health information organ procurement organizations other entities engaged in procurement banking transplantation cadaveric organs eyes tissue for purpose facilitating organ eye tissue donation transplantation
privacy,covered entity may use disclose protected health information without written authorization individual as described in opportunity for individual agree object as described in in situations covered section subject applicable requirements section
privacy,covered entity may use disclose protected health information provided individual informed in advance use disclosure has opportunity agree prohibit restrict use disclosure in accordance with applicable requirements section
privacy,covered entity may use professional judgment its experience with common practice make reasonable inferences individuals best interest in allowing person act on behalf individual pick up filled prescriptions medical supplies xrays other similar forms protected health information
privacy,covered entity may use protected health information create information individually identifiable health information disclose protected health information only business associate for such purpose whether deidentified information be used covered entity
privacy,covered entity may use disclose business associate institutionally related foundation following protected health information for purpose raising funds for its own benefit without authorization meeting requirements 
privacy,covered entity may consistent with applicable law standards ethical conduct use disclose protected health information covered entity in good faith believes use disclosure
